,0
0,0.02
1,0.04
2,0.06
3,0.08
4,0.1
5,0.12000000000000001
6,0.13999999999999999
7,0.16
8,0.18
9,0.19999999999999998
10,0.22
11,0.24
12,0.26
13,0.28
14,0.30000000000000004
15,0.32
16,0.34
17,0.36000000000000004
18,0.38
19,0.4
20,0.42000000000000004
21,0.44
22,0.46
23,0.48000000000000004
24,0.5
25,0.52
26,0.54
27,0.56
28,0.5800000000000001
29,0.6
30,0.62
31,0.64
32,0.66
33,0.68
34,0.7000000000000001
35,0.7200000000000001
36,0.74
37,0.76
38,0.78
39,0.8
40,0.8200000000000001
41,0.8400000000000001
42,0.86
43,0.88
44,0.9
45,0.92
46,0.9400000000000001
47,0.9600000000000001
48,0.98
49,1.0
